CustomerID|CustomerName|BillToCustomerID|CustomerCategoryID|BuyingGroupID|PrimaryContactPersonID|AlternateContactPersonID|DeliveryMethodID|DeliveryCityID|PostalCityID|CreditLimit|AccountOpenedDate|StandardDiscountPercentage|IsStatementSent|IsOnCreditHold|PaymentDays|PhoneNumber|FaxNumber|DeliveryRun|RunPosition|WebsiteURL|DeliveryAddressLine1|DeliveryAddressLine2|DeliveryPostalCode|DeliveryLocation|PostalAddressLine1|PostalAddressLine2|PostalPostalCode|LastEditedBy|ValidFrom|ValidTo
945|"Hoc Tran"|945|5||3145||3|36973|36973|1620.68|2013-01-01 00:00:00.0000000|0.0|False|False|7|"(339) 555-0100"|"(339) 555-0101"|""|""|"http://www.microsoft.com/HocTran/"|"Shop 19"|"1634 Sen Street"|"90588"|POINT (-70.5578093 41.9309375)|"PO Box 6639"|"Henzlville"|"90588"|4|2020-07-01 16:00:00.0000000|9999-12-31 23:59:59.9999999
946|"David safranek"|946|4||3146||3|34280|34280|4398.98|2013-01-01 00:00:00.0000000|0.0|False|False|7|"(215) 555-0100"|"(215) 555-0101"|""|""|"http://www.microsoft.com/Davidsafranek/"|"Shop 7"|"974 Mazzanti Avenue"|"90204"|POINT (-75.757439 39.8314987)|"PO Box 764"|"Almarazville"|"90204"|4|2020-07-01 16:00:00.0000000|9999-12-31 23:59:59.9999999
948|"Richard Zahradnicek"|948|4||3148||3|16893|16893|3465.0|2013-01-01 00:00:00.0000000|0.0|False|False|7|"(314) 555-0100"|"(314) 555-0101"|""|""|"http://www.microsoft.com/RichardZahradnicek/"|"Shop 7"|"401 Bhowmick Avenue"|"90311"|POINT (-94.3052108 36.5472962)|"PO Box 4904"|"Mukherjeeville"|"90311"|4|2020-07-01 16:00:00.0000000|9999-12-31 23:59:59.9999999
963|"Be Trang"|963|7||3163||3|36091|36091|2835.0|2013-01-01 00:00:00.0000000|0.0|False|False|7|"(405) 555-0100"|"(405) 555-0101"|""|""|"http://www.microsoft.com/BeTrang/"|"Unit 26"|"33 Rezaei Boulevard"|"90072"|POINT (-98.4369110885 35.8487128006)|"PO Box 5401"|"Gomesville"|"90072"|4|2020-07-01 16:00:00.0000000|9999-12-31 23:59:59.9999999
969|"Staffan Persson"|969|5||3169||3|26778|26778|3465.0|2013-01-01 00:00:00.0000000|0.0|False|False|7|"(314) 555-0100"|"(314) 555-0101"|""|""|"http://www.microsoft.com/StaffanPersson/"|"Suite 8"|"1532 Dewangan Street"|"90068"|POINT (-95.5985986 40.4033346)|"PO Box 8839"|"Tickooville"|"90068"|4|2020-07-01 16:00:00.0000000|9999-12-31 23:59:59.9999999
978|"Baalaamjali Devulapalli"|978|4||3178||3|28032|28032|3638.25|2013-01-01 00:00:00.0000000|0.0|False|False|7|"(505) 555-0100"|"(505) 555-0101"|""|""|"http://www.microsoft.com/BaalaamjaliDevulapalli/"|"Shop 14"|"1123 Thakur Road"|"90011"|POINT (-104.6221654 34.829682)|"PO Box 40"|"Valekville"|"90011"|4|2020-07-01 16:00:00.0000000|9999-12-31 23:59:59.9999999
986|"Neil Farrelly"|986|3||3186||3|29938|29938|1944.81|2013-01-01 00:00:00.0000000|0.0|False|False|7|"(215) 555-0100"|"(215) 555-0101"|""|""|"http://www.microsoft.com/NeilFarrelly/"|"Suite 17"|"730 Gungor Boulevard"|"90355"|POINT (-77.525262 41.8678482)|"PO Box 8803"|"Kellnerovaville"|"90355"|4|2020-07-01 16:00:00.0000000|9999-12-31 23:59:59.9999999
1059|"Jibek Juniskyzy"|1059|4||3259||3|10483|10483|1890.0|2016-03-13 00:00:00.0000000|0.0|False|False|7|"(217) 555-0100"|"(217) 555-0101"|||"http://www.microsoft.com/"|"Shop 23"|"80 Hudson Boulevard"|"90073"|POINT (-90.3051249 40.6267064)|"PO Box 13"|"Nadaville"|"90073"|4|2020-07-01 16:00:00.0000000|9999-12-31 23:59:59.9999999
1079|"Nhung Ton"|1079|5||3279||3|628|628|2730.0|2017-05-29 00:00:00.0000000|0.0|False|False|7|"(239) 555-0100"|"(239) 555-0101"|||"http://www.microsoft.com/"|"Unit 8"|"316 Theodore Road"|"90554"|POINT (-85.1271442 30.5704721)|"PO Box 8434"|"Hee-Youngville"|"90554"|4|2020-07-01 16:00:00.0000000|9999-12-31 23:59:59.9999999
1117|"Sushila Baruah"|1117|7||3317||3|26072|26072|3570.0|2020-05-18 00:00:00.0000000|0.0|False|False|7|"(803) 555-0100"|"(803) 555-0101"|||"http://www.microsoft.com/"|"Suite 15"|"971 Marcela Lane"|"90539"|POINT (-79.5700598 33.9959952)|"PO Box 1437"|"Diegoville"|"90539"|4|2020-07-01 16:00:00.0000000|9999-12-31 23:59:59.9999999
